"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CZZ","Cosan Limited","8.2","2006340838.4","n/a","n/a","Consumer Non-Durables","Specialty Foods","https://www.nasdaq.com/symbol/czz",
"COT","Cott Corporation","14.09","1940573528.63","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/cot",
"COTY","Coty Inc.","7.07","5310100942.86","n/a","2013","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/coty",
"BREW","Craft Brew Alliance, Inc.","15.77","305650386.74","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/brew",
"CROX","Crocs, Inc.","25.19","1682717366.33","n/a","2006","Consumer Non-Durables","Shoe Manufacturing","https://www.nasdaq.com/symbol/crox",
"CUI","CUI Global, Inc.","1.43","40827632.56","n/a","n/a","Consumer Non-Durables","Electronic Components","https://www.nasdaq.com/symbol/cui",
"DAR","Darling Ingredients Inc.","20.11","3311270932.08","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/dar",
"DTEA","DAVIDsTEA Inc.","1.47","38215044.63","n/a","2015","Consumer Non-Durables","Food Chains","https://www.nasdaq.com/symbol/dtea",
"DF","Dean Foods Company","4.32","394850255.04","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/df",
"DECK","Deckers Outdoor Corporation","118.46","3449816878.14","n/a","1993","Consumer Non-Durables","Shoe Manufacturing","https://www.nasdaq.com/symbol/deck",
"DLA","Delta Apparel, Inc.","19.15","131344047.55","n/a","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/dla",
"DSWL","Deswell Industries, Inc.","3.05","48449978.95","n/a","1995","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/dswl",
"DEO","Diageo plc","140.81","85648050858.96","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/deo",
"DPZ","Domino&#39;s Pizza Inc","242.19","10073809010.07","n/a","2004","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/dpz",
"DXF","Dunxin Financial Holdings Limited","3.18","66249998.94","n/a","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/dxf",
"ELF","e.l.f. Beauty, Inc.","9.6","463246665.6","n/a","2016","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/elf",
"EAST","Eastside Distilling, Inc.","6.14","44902618.2","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/east",
"EDNT","Edison Nation, Inc.","5.65","28532522.6","n/a","2018","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/ednt",
"MSN","Emerson Radio Corporation","1.45","31124838.7","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/msn",
"EPC","Energizer Holdings, Inc.","39.77","2149195019.93","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/epc",
"ENS","Enersys","73.35","3177959899.5","n/a","2004","Consumer Non-Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/ens",
"ENTG","Entegris, Inc.","25.76","3640688646.56","n/a","2000","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/entg",
"ESCA","Escalade, Incorporated","11.11","160425333.64","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/esca",
"EL","Estee Lauder Companies, Inc. (The)","130.3","47279686222.6","n/a","1995","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/el",
"EVK","Ever-Glory International Group, Inc.","4.1","60672611.8","n/a","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/evk",
"FARM","Farmer Brothers Company","22.77","386582251.77","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/farm",
"FAMI","FARMMI, INC.","3.83","45699560","n/a","2018","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/fami",
"FLO","Flowers Foods, Inc.","18.46","3893125521.22","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/flo",
"FMX","Fomento Economico Mexicano S.A.B. de C.V.","81.53","145866393896.55","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/fmx",
"FORD","Forward Industries, Inc.","1.39","13252051.5","n/a","n/a","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/ford",
"FOSL","Fossil Group, Inc.","15.82","782386452.96","n/a","1993","Consumer Non-Durables","Consumer Specialties","https://www.nasdaq.com/symbol/fosl",
"FOXF","Fox Factory Holding Corp.","59.45","2258390107.55","n/a","2013","Consumer Non-Durables","Motor Vehicles","https://www.nasdaq.com/symbol/foxf",
"FDP","Fresh Del Monte Produce, Inc.","32.15","1555287467.65","n/a","1997","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/fdp",
"FRPT","Freshpet, Inc.","34.1","1211797139.3","n/a","2014","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/frpt",
"FORK","Fuling Global Inc.","3.5677","56299037.3785","n/a","2015","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/fork",
"FNKO","Funko, Inc.","13.6","657790275.2","n/a","2017","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/fnko",
"FTFT","Future FinTech Group Inc.","0.7301","22645572.2983","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/ftft",
"WILC","G. Willi-Food International,  Ltd.","6.95","92024345.35","n/a","n/a","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/wilc",
"GPIC","Gaming Partners International Corporation","13","104597584","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/gpic",
"GIS","General Mills, Inc.","36.74","21905487701.68","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/gis",
"GIII","G-III Apparel Group, LTD.","28.63","1413050455.81","n/a","1989","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/giii",
"GIL","Gildan Activewear, Inc.","31.46","6503742725.48","n/a","1998","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/gil",
"GLAD","Gladstone Capital Corporation","8.16","232598719.2","n/a","2001","Consumer Non-Durables","Textiles","https://www.nasdaq.com/symbol/glad",
"GLADD","Gladstone Capital Corporation","24.825","0","n/a","n/a","Consumer Non-Durables","Textiles","https://www.nasdaq.com/symbol/gladd",
"GLADN","Gladstone Capital Corporation","25.0001","0","n/a","n/a","Consumer Non-Durables","Textiles","https://www.nasdaq.com/symbol/gladn",
"GNC","GNC Holdings, Inc.","2.61","218939095.71","n/a","2011","Consumer Non-Durables","Food Chains","https://www.nasdaq.com/symbol/gnc",
"GES","Guess?, Inc.","19.51","1581068314.68","n/a","1996","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/ges",
"HOG","Harley-Davidson, Inc.","33.94","5526543535","n/a","n/a","Consumer Non-Durables","Motor Vehicles","https://www.nasdaq.com/symbol/hog",
"HAS","Hasbro, Inc.","83.59","10574760086.02","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/has",
"HSY","Hershey Company (The)","105.17","22065485063.96","n/a","n/a","Consumer Non-Durables","Specialty Foods","https://www.nasdaq.com/symbol/hsy",
"HFFG","HF Foods Group Inc.","14.49","321206872.14","n/a","2017","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/hffg",
"HRL","Hormel Foods Corporation","43.17","23078495721.45","n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://www.nasdaq.com/symbol/hrl",
"TWNK","Hostess Brands, Inc.","11.09","1443637278.83","n/a","2015","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/twnk",
"TWNKW","Hostess Brands, Inc.","0.99","0","n/a","2015","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/twnkw",
"HWCC","Houston Wire & Cable Company","5.6","92531258.4","n/a","2006","Consumer Non-Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/hwcc",
"ICON","Iconix Brand Group, Inc.","0.1085","8158396.7745","n/a","n/a","Consumer Non-Durables","Shoe Manufacturing","https://www.nasdaq.com/symbol/icon",
